date,control_point,arrivals_residents,arrivals_chinavisitors,arrivals_othervisitors,arrivals_total,departures_residents,departures_chinavisitors,departures_othervisitors,departures_total,weekday
2020-01-24,Lo Wu,26340,7383,429,34152,72074,6231,413,78718,Friday
2020-01-24,Lok Ma Chau Spur Line,16750,4979,196,21925,32215,3766,167,36148,Friday
2020-01-24,Hong Kong-Zhuhai-Macao Bridge,7294,1949,2130,11373,15775,2804,2086,20665,Friday
2020-01-24,Lok Ma Chau,10591,2921,407,13919,17682,3901,283,21866,Friday
2020-01-24,Man Kam To,1093,367,9,1469,1890,219,9,2118,Friday
2020-01-24,Sha Tau Kok,1008,264,27,1299,3207,210,40,3457,Friday
2020-01-24,Shenzhen Bay,8792,5354,685,14831,37864,5142,484,43490,Friday
2020-01-24,China Ferry Terminal,1013,442,373,1828,3511,453,312,4276,Friday
2020-01-24,Harbour Control,7,0,259,266,77,0,4,81,Friday
2020-01-24,Kai Tak Cruise Terminal,466,707,2400,3573,2487,775,280,3542,Friday
2020-01-24,Macau Ferry Terminal,6001,358,1395,7754,8985,390,1314,10689,Friday
2020-01-24,Tuen Mun Ferry Terminal,434,7,38,479,548,4,17,569,Friday
2020-01-24,Total,102663,36705,22872,162240,294785,31340,13018,339143,Friday
2020-01-25,Airport,14907,8489,10953,34349,58711,5326,7335,71372,Saturday
2020-01-25,Express Rail Link West Kowloon,1852,2278,285,4415,8489,2089,224,10802,Saturday
2020-01-25,Hung Hom,575,176,67,818,1509,153,53,1715,Saturday
2020-01-25,Lo Wu,20716,4368,317,25401,39692,5468,347,45507,Saturday
2020-01-25,Lok Ma Chau Spur Line,12511,3237,117,15865,16675,3347,155,20177,Saturday
2020-01-25,Hong Kong-Zhuhai-Macao Bridge,9121,2682,2339,14142,13570,2949,1830,18349,Saturday
2020-01-25,Lok Ma Chau,7187,2662,234,10083,10351,3163,195,13709,Saturday
2020-01-25,Man Kam To,753,262,12,1027,895,203,5,1103,Saturday
2020-01-25,Sha Tau Kok,923,208,19,1150,1702,165,38,1905,Saturday
2020-01-25,Shenzhen Bay,9834,4540,532,14906,20440,4993,451,25884,Saturday
2020-01-25,Harbour Control,2,0,89,91,2,0,2,4,Saturday
2020-01-25,Kai Tak Cruise Terminal,168,25,2315,2508,2997,129,2521,5647,Saturday
2020-01-25,Macau Ferry Terminal,6118,490,1355,7963,8120,378,1048,9546,Saturday
2020-01-25,Tuen Mun Ferry Terminal,567,11,44,622,782,19,14,815,Saturday
2020-01-25,Total,86417,29891,19177,135485,186168,28788,14633,229589,Saturday
2020-01-26,Airport,22646,10955,7522,41123,47580,7870,8813,64263,Sunday
2020-01-26,Express Rail Link West Kowloon,7481,2481,415,10377,2360,2875,300,5535,Sunday
2020-01-26,Hung Hom,2237,272,137,2646,575,307,54,936,Sunday
2020-01-26,Lo Wu,44781,4994,406,50181,22105,6754,348,29207,Sunday
2020-01-26,Lok Ma Chau Spur Line,19606,3816,265,23687,10678,4376,226,15280,Sunday
2020-01-26,Hong Kong-Zhuhai-Macao Bridge,12967,2486,2311,17764,10182,3053,2082,15317,Sunday
2020-01-26,Lok Ma Chau,10754,3119,362,14235,7058,3642,240,10940,Sunday
2020-01-26,Man Kam To,1093,345,24,1462,709,324,5,1038,Sunday
2020-01-26,Sha Tau Kok,2077,284,40,2401,1058,312,48,1418,Sunday
2020-01-26,Shenzhen Bay,26235,6051,868,33154,9524,7404,529,17457,Sunday
2020-01-26,China Ferry Terminal,2418,522,501,3441,1391,603,504,2498,Sunday
2020-01-26,Harbour Control,0,0,256,256,0,0,0,0,Sunday
2020-01-26,Kai Tak Cruise Terminal,2510,806,2251,5567,1000,394,317,1711,Sunday
2020-01-26,Macau Ferry Terminal,8216,554,1325,10095,6571,379,1284,8234,Sunday
2020-01-26,Tuen Mun Ferry Terminal,647,5,24,676,605,7,28,640,Sunday
2020-01-26,Total,163668,36690,16707,217065,121396,38300,14778,174474,Sunday
2020-01-27,Airport,36215,10309,6764,53288,41316,8203,11319,60838,Monday
2020-01-27,Hung Hom,2025,221,116,2362,244,308,54,606,Monday
2020-01-27,Lo Wu,43145,3643,387,47175,13999,5193,387,19579,Monday
2020-01-27,Lok Ma Chau Spur Line,17463,2863,203,20529,7787,3592,175,11554,Monday
2020-01-27,Hong Kong-Zhuhai-Macao Bridge,14306,1998,1998,18302,7369,2822,2088,12279,Monday
2020-01-27,Lok Ma Chau,10708,1945,356,13009,5174,3655,233,9062,Monday
2020-01-27,Man Kam To,1280,281,12,1573,569,324,5,898,Monday
2020-01-27,Sha Tau Kok,2212,189,36,2437,617,337,81,1035,Monday
2020-01-27,Shenzhen Bay,27513,4507,759,32779,5065,6538,598,12201,Monday
2020-01-27,China Ferry Terminal,3124,477,431,4032,944,530,411,1885,Monday
2020-01-27,Harbour Control,69,0,32,101,28,0,25,53,Monday
2020-01-27,Kai Tak Cruise Terminal,638,56,12,706,706,66,2190,2962,Monday
2020-01-27,Macau Ferry Terminal,7258,394,1271,8923,4981,343,1094,6418,Monday
2020-01-27,Tuen Mun Ferry Terminal,601,10,18,629,511,2,24,537,Monday
2020-01-27,Total,177470,28780,12816,219066,90477,34703,18930,144110,Monday
2020-01-28,Airport,54491,7187,5422,67100,41100,8306,12151,61557,Tuesday
2020-01-28,Express Rail Link West Kowloon,13133,1828,322,15283,864,2499,212,3575,Tuesday
2020-01-28,Hung Hom,1754,194,64,2012,203,316,56,575,Tuesday
2020-01-28,Lo Wu,39880,3633,381,43894,12598,4654,290,17542,Tuesday
2020-01-28,Lok Ma Chau Spur Line,17313,2575,194,20082,7253,3018,175,10446,Tuesday
